ID\tTimestamp\tZmienna A\tZmienna B\tZmienna C\tZmienna D\tZmienna E\tZmienna F\tZmienna G\tCase ID\tCluster
1\t01.01.2020 00:00\t"176,8"\t"81,4"\t60\t1\t"88,09999847"\t"98,73999786"\t0\t1\t2
2\t01.01.2020 00:10\t"178,1"\t"72,6"\t49\t1\t"79,40000153"\t"95,26000214"\t0\t1\t3
3\t01.01.2020 00:20\t"152,1"\t"60,5"\t34\t1\t"79,40000153"\t"95,26000214"\t0\t1\t10
4\t01.01.2020 00:30\t"165,1"\t"72,6"\t53\t1\t"81,13999939"\t"95,26000214"\t0\t1\t1
5\t01.01.2020 00:40\t"176,8"\t"82,5"\t58\t1\t"79,40000153"\t97\t0\t1\t4
6\t01.01.2020 00:50\t"148,2"\t"60,5"\t41\t1\t"79,40000153"\t"95,26000214"\t0\t1\t6
7\t01.01.2020 01:00\t"128,7"\t"64,9"\t46\t1\t"75,91999817"\t"90,04000092"\t0\t1\t8
8\t01.01.2020 01:10\t"157,3"\t"64,9"\t32\t1\t"81,13999939"\t"93,51999664"\t0\t1\t10
9\t01.01.2020 01:20\t"179,4"\t"74,8"\t57\t1\t"86,36000061"\t"103,9599991"\t0\t1\t10
10\t01.01.2020 01:30\t"148,2"\t"60,5"\t30\t1\t"79,40000153"\t97\t0\t1\t1
11\t01.01.2020 01:40\t"175,5"\t"78,1"\t61\t1\t"98,54000092"\t"112,6600037"\t0\t1\t8
12\t01.01.2020 01:50\t"158,6"\t"60,5"\t35\t1\t"81,13999939"\t"95,26000214"\t0\t1\t6
13\t01.01.2020 02:00\t"175,5"\t"78,1"\t61\t1\t"93,31999969"\t"109,1800003"\t0\t1\t3
14\t01.01.2020 02:10\t"158,6"\t"60,5"\t41\t1\t"79,40000153"\t"95,26000214"\t0\t1\t10
15\t01.01.2020 02:20\t"115,7"\t"63,8"\t53\t1\t"72,44000244"\t"88,30000305"\t0\t2\t1
16\t01.01.2020 02:30\t"162,5"\t"70,4"\t43\t1\t"79,40000153"\t97\t0\t2\t5
17\t01.01.2020 02:40\t"183,3"\t88\t59\t1\t"98,54000092"\t"114,4000015"\t0\t2\t4
18\t01.01.2020 02:50\t"158,6"\t"68,2"\t28\t1\t"81,13999939"\t"95,26000214"\t0\t2\t6
19\t01.01.2020 03:00\t"167,7"\t"79,2"\t69\t1\t"82,87999725"\t"98,73999786"\t0\t2\t2
20\t01.01.2020 03:10\t"126,1"\t"64,9"\t45\t1\t"74,18000031"\t"91,77999878"\t0\t2\t6
21\t01.01.2020 03:20\t143\t"62,7"\t50\t1\t"75,91999817"\t"93,51999664"\t0\t2\t10
22\t01.01.2020 03:30\t"105,3"\t"63,8"\t27\t1\t"70,69999695"\t"84,81999969"\t0\t2\t1
23\t01.01.2020 03:40\t"97,5"\t"60,5"\t28\t0\t"68,95999908"\t"84,81999969"\t1\t2\t2
24\t01.01.2020 03:50\t"180,7"\t"79,2"\t52\t1\t"86,36000061"\t"103,9599991"\t0\t2\t3
25\t01.01.2020 04:00\t"180,7"\t77\t67\t1\t"88,09999847"\t"103,9599991"\t0\t2\t8
26\t01.01.2020 04:10\t182\t"84,7"\t64\t1\t"93,31999969"\t"112,6600037"\t0\t2\t8
27\t01.01.2020 04:20\t"152,1"\t"62,7"\t31\t1\t"81,13999939"\t"95,26000214"\t0\t2\t4
28\t01.01.2020 04:30\t"183,3"\t"78,1"\t53\t1\t"79,40000153"\t"95,26000214"\t0\t2\t10
29\t01.01.2020 04:40\t169\t"74,8"\t60\t1\t"100,2799988"\t"114,4000015"\t0\t2\t4
30\t01.01.2020 04:50\t"162,5"\t"70,4"\t35\t1\t"79,40000153"\t97\t0\t2\t4
